Text:  BECAUSE LIKE HIM TIME AND TIDE WAITS FOR NO MAN OR BIRD AS THE SPRING TIDE ADVANCES UP THE MUD FLATS SUDDENLY THE WATER COMES RIGHT UP TO THE TOP OF THE KNOTS' LEGS AND THEY TAKE FLIGHT THAT IS WHEN THE SPECTACLE 
Conf:  4

WORD START END ASDSCORE
BECAUSE 0.08 0.40 7.0
LIKE 0.40 0.71 7.5
HIM 0.71 1.10 8.1
TIME 1.41 1.81 9.6
AND 1.81 1.99 8.0
TIDE 1.99 2.42 8.5
WAITS 2.42 2.69 10.2
FOR 2.69 2.77 7.9
NO 2.77 2.85 6.8
MAN 2.85 3.35 10.5
OR 3.78 3.95 -1.1
BIRD 3.95 4.10 2.3
AS 4.10 4.41 8.4
THE 5.07 5.23 9.9
SPRING 5.27 5.61 9.8
TIDE 5.61 6.03 11.4
ADVANCES 6.03 6.77 9.3
UP 6.77 6.90 11.3
THE 6.92 7.01 11.6
MUD 7.01 7.26 10.8
FLATS 7.35 7.63 10.5
SUDDENLY 8.00 8.35 8.7
THE 8.35 8.44 9.5
WATER 8.44 8.77 9.7
COMES 8.77 9.14 10.2
RIGHT 9.14 9.43 11.7
UP 9.43 9.56 9.2
TO 9.56 9.65 8.9
THE 9.65 9.74 10.2
TOP 9.74 9.96 10.1
OF 9.96 10.02 7.3
THE 10.02 10.08 5.8
KNOTS' 10.08 10.38 6.7
LEGS 10.38 10.70 9.7
AND 10.86 10.99 6.0
THEY 10.99 11.08 6.0
TAKE 11.08 11.41 8.6
FLIGHT 11.41 11.94 9.1
THAT 12.33 12.76 9.4
IS 12.89 13.02 5.5
WHEN 13.02 13.16 5.9
THE 13.16 13.23 5.2
SPECTACLE 13.23 13.76 7.5
